datetime_utc,longitude,latitude,easting_m,northing_m,ortho_ht_m
2018-Jul-25 22:49:25.000,-123.5621391,48.1448355,296986.80,130885.26,1.07
2018-Jul-25 22:49:25.000,-123.5621413,48.1448414,296986.66,130885.92,1.08
2018-Jul-25 22:49:26.000,-123.5621433,48.1448475,296986.54,130886.61,1.14
2018-Jul-25 22:49:26.000,-123.5621451,48.1448526,296986.42,130887.18,0.98
2018-Jul-25 22:49:27.000,-123.5621470,48.1448573,296986.30,130887.71,1.06
2018-Jul-25 22:49:28.000,-123.5621488,48.1448626,296986.19,130888.30,1.11
2018-Jul-25 22:49:28.000,-123.5621505,48.1448679,296986.08,130888.89,0.95
2018-Jul-25 22:49:29.000,-123.5621529,48.1448739,296985.93,130889.57,0.98
2018-Jul-25 22:49:30.000,-123.5621515,48.1448808,296986.06,130890.33,1.01
2018-Jul-25 22:49:31.000,-123.5621503,48.1448916,296986.19,130891.53,1.02
2018-Jul-25 22:49:31.000,-123.5621472,48.1448981,296986.45,130892.25,1.03
2018-Jul-25 22:49:33.000,-123.5621431,48.1449096,296986.79,130893.51,1.10
2018-Jul-25 22:49:33.000,-123.5621409,48.1449154,296986.98,130894.15,1.18
2018-Jul-25 22:49:34.000,-123.5621378,48.1449220,296987.24,130894.88,1.12
2018-Jul-25 22:49:34.000,-123.5621351,48.1449282,296987.47,130895.56,1.12
2018-Jul-25 22:49:36.000,-123.5621314,48.1449401,296987.79,130896.87,1.17
2018-Jul-25 22:49:36.000,-123.5621297,48.1449459,296987.94,130897.51,1.17
2018-Jul-25 22:49:37.000,-123.5621271,48.1449523,296988.15,130898.21,1.13
2018-Jul-25 22:49:37.000,-123.5621245,48.1449594,296988.38,130899.00,1.11
2018-Jul-25 22:49:38.000,-123.5621226,48.1449658,296988.54,130899.70,1.09
2018-Jul-25 22:49:39.000,-123.5621225,48.1449706,296988.57,130900.23,1.12
2018-Jul-25 22:49:39.000,-123.5621233,48.1449762,296988.53,130900.86,1.08
2018-Jul-25 22:49:40.000,-123.5621230,48.1449815,296988.57,130901.44,1.02
2018-Jul-25 22:49:41.000,-123.5621228,48.1449867,296988.61,130902.03,1.00
2018-Jul-25 22:49:41.000,-123.5621229,48.1449914,296988.62,130902.54,0.91
2018-Jul-25 22:49:42.000,-123.5621231,48.1449968,296988.62,130903.15,0.86
2018-Jul-25 22:49:43.000,-123.5621238,48.1450024,296988.60,130903.77,0.88
2018-Jul-25 22:49:44.000,-123.5621229,48.1450076,296988.69,130904.35,0.85
2018-Jul-25 22:49:45.000,-123.5621225,48.1450128,296988.73,130904.92,0.85
2018-Jul-25 22:49:45.000,-123.5621250,48.1450173,296988.57,130905.43,0.85
2018-Jul-25 22:49:46.000,-123.5621264,48.1450221,296988.48,130905.96,0.70
2018-Jul-25 22:49:47.000,-123.5621308,48.1450258,296988.17,130906.39,0.72
2018-Jul-25 22:49:48.000,-123.5621346,48.1450296,296987.90,130906.82,0.83
2018-Jul-25 22:49:49.000,-123.5621409,48.1450329,296987.45,130907.20,0.84
2018-Jul-25 22:49:50.000,-123.5621453,48.1450364,296987.13,130907.61,0.92
2018-Jul-25 22:49:51.000,-123.5621509,48.1450407,296986.73,130908.10,0.96
2018-Jul-25 22:49:52.000,-123.5621560,48.1450453,296986.37,130908.62,0.98
2018-Jul-25 22:49:53.000,-123.5621606,48.1450491,296986.04,130909.06,0.92
2018-Jul-25 22:49:54.000,-123.5621665,48.1450529,296985.62,130909.50,1.01
2018-Jul-25 22:49:55.000,-123.5621721,48.1450567,296985.22,130909.93,1.03
2018-Jul-25 22:49:56.000,-123.5621774,48.1450607,296984.84,130910.39,1.03
2018-Jul-25 22:49:57.000,-123.5621821,48.1450643,296984.50,130910.80,1.07
2018-Jul-25 22:49:58.000,-123.5621863,48.1450680,296984.21,130911.23,1.12
2018-Jul-25 22:49:59.000,-123.5621905,48.1450720,296983.91,130911.68,1.13
2018-Jul-25 22:49:59.000,-123.5621948,48.1450760,296983.61,130912.14,1.19
2018-Jul-25 22:50:00.000,-123.5621988,48.1450802,296983.33,130912.62,1.09
2018-Jul-25 22:50:01.000,-123.5622024,48.1450844,296983.07,130913.09,1.06
2018-Jul-25 22:50:02.000,-123.5622063,48.1450882,296982.80,130913.52,1.13
2018-Jul-25 22:50:03.000,-123.5622097,48.1450922,296982.56,130913.98,1.12
2018-Jul-25 22:50:03.000,-123.5622133,48.1450967,296982.31,130914.48,1.11
2018-Jul-25 22:50:04.000,-123.5622171,48.1451012,296982.05,130915.00,1.11
2018-Jul-25 22:50:05.000,-123.5622213,48.1451054,296981.75,130915.48,1.12
2018-Jul-25 22:50:07.000,-123.5622263,48.1451146,296981.42,130916.51,1.06
2018-Jul-25 22:50:07.000,-123.5622304,48.1451186,296981.13,130916.97,1.10
2018-Jul-25 22:50:08.000,-123.5622337,48.1451238,296980.90,130917.55,1.12
2018-Jul-25 22:50:09.000,-123.5622346,48.1451294,296980.86,130918.18,1.07
2018-Jul-25 22:50:09.000,-123.5622356,48.1451340,296980.80,130918.69,1.04
2018-Jul-25 22:50:10.000,-123.5622378,48.1451384,296980.66,130919.18,1.08
2018-Jul-25 22:50:11.000,-123.5622395,48.1451428,296980.54,130919.68,1.07
2018-Jul-25 22:50:11.000,-123.5622416,48.1451472,296980.40,130920.17,1.09
2018-Jul-25 22:50:12.000,-123.5622437,48.1451517,296980.27,130920.68,1.09
